machine_id,machine_type,cycle,cycle_time,defect,maintenance_event,maintenance_action,downtime_event
M1,tool_wear_machine,1,10.062472407130842,0,0,,
M2,calibration_drift_machine,1,10.059195090518221,0,0,,
M3,healthy_control_machine,1,9.73485016730092,0,0,,
M4,bearing_degradation_machine,1,10.017617840187892,0,0,,0.0
M1,tool_wear_machine,2,10.113381905163267,0,0,,
M2,calibration_drift_machine,2,10.014853858979343,0,0,,
M3,healthy_control_machine,2,10.067111736833427,0,0,,
M4,bearing_degradation_machine,2,10.030292154564455,0,0,,0.0
M1,tool_wear_machine,3,10.18892677929499,0,0,,
M2,calibration_drift_machine,3,9.802314474212375,0,0,,
M3,healthy_control_machine,3,10.279379219844735,0,0,,
M4,bearing_degradation_machine,3,10.04316597487123,0,0,,0.0
M1,tool_wear_machine,4,10.230990090561903,0,0,,
M2,calibration_drift_machine,4,10.09751337061239,0,0,,
M3,healthy_control_machine,4,10.028026167605967,0,0,,
M4,bearing_degradation_machine,4,10.066679328915463,0,0,,0.0
M1,tool_wear_machine,5,10.276299640685018,0,0,,
M2,calibration_drift_machine,5,9.895198198457958,0,0,,
M3,healthy_control_machine,5,10.197242505491158,0,0,,
M4,bearing_degradation_machine,5,10.07917428107046,0,0,,0.0
M1,tool_wear_machine,6,10.362634326842818,0,0,,
M2,calibration_drift_machine,6,10.189276857072901,0,0,,
M3,healthy_control_machine,6,10.162762208011568,0,0,,
M4,bearing_degradation_machine,6,10.092909732727168,0,0,,0.0
M1,tool_wear_machine,7,10.421293266145758,0,0,,
M2,calibration_drift_machine,7,10.082534482813127,0,0,,
M3,healthy_control_machine,7,9.771756547562982,0,0,,
M4,bearing_degradation_machine,7,10.11308229350504,0,0,,0.0
M1,tool_wear_machine,8,10.462818413750403,0,0,,
M2,calibration_drift_machine,8,10.081846246758268,0,0,,
M3,healthy_control_machine,8,10.244539884355655,0,0,,
M4,bearing_degradation_machine,8,10.127648420273609,0,0,,0.0
