machine_id,cycle,action,reason
M1,100,tool_replacement,scheduled_maintenance
M2,100,recalibration,scheduled_maintenance
M3,100,routine_check,scheduled_maintenance
M5,100,routine_check,scheduled_maintenance
M4,150,bearing_replacement,scheduled_maintenance
M1,200,tool_replacement,scheduled_maintenance
M2,200,recalibration,scheduled_maintenance
M3,200,routine_check,scheduled_maintenance
M5,200,routine_check,scheduled_maintenance
M1,300,tool_replacement,scheduled_maintenance
M2,300,recalibration,scheduled_maintenance
M3,300,routine_check,scheduled_maintenance
M4,300,bearing_replacement,scheduled_maintenance
M5,300,routine_check,scheduled_maintenance
M1,400,tool_replacement,scheduled_maintenance
M2,400,recalibration,scheduled_maintenance
M3,400,routine_check,scheduled_maintenance
M5,400,routine_check,scheduled_maintenance
M4,450,bearing_replacement,scheduled_maintenance
M1,500,tool_replacement,scheduled_maintenance
M2,500,recalibration,scheduled_maintenance
M3,500,routine_check,scheduled_maintenance
M5,500,routine_check,scheduled_maintenance
M1,600,tool_replacement,scheduled_maintenance
M2,600,recalibration,scheduled_maintenance
M3,600,routine_check,scheduled_maintenance
M4,600,bearing_replacement,scheduled_maintenance
M5,600,routine_check,scheduled_maintenance
M1,700,tool_replacement,scheduled_maintenance
M2,700,recalibration,scheduled_maintenance
M3,700,routine_check,scheduled_maintenance
M5,700,routine_check,scheduled_maintenance
M4,750,bearing_replacement,scheduled_maintenance
M1,800,tool_replacement,scheduled_maintenance
M2,800,recalibration,scheduled_maintenance
M3,800,routine_check,scheduled_maintenance
M5,800,routine_check,scheduled_maintenance
M1,900,tool_replacement,scheduled_maintenance
M2,900,recalibration,scheduled_maintenance
M3,900,routine_check,scheduled_maintenance
M4,900,bearing_replacement,scheduled_maintenance
M5,900,routine_check,scheduled_maintenance
M1,1000,tool_replacement,scheduled_maintenance
M2,1000,recalibration,scheduled_maintenance
M3,1000,routine_check,scheduled_maintenance
M5,1000,routine_check,scheduled_maintenance
