batch_id,supplier,quality_score,introduced_cycle,duration_cycles,is_incident_batch
B100,SupplierA,0.8986902154501571,1,100,False
B101,SupplierB,0.973592859833289,101,100,False
B102,SupplierA,0.9451592124354826,201,100,False
B103,SupplierB,0.9278256029456148,301,100,False
B104,SupplierA,0.8702824232575167,401,100,False
B105,SupplierB,0.8702792876437063,501,100,False
B106,SupplierA,0.35,601,100,True
B107,SupplierB,0.8575508695818659,701,100,False
B108,SupplierA,0.9626028989507416,801,100,False
B109,SupplierB,0.9281449515266171,901,100,False
